ID,area_name,item_name,year,period,periodName,latest,value,footnotes
CUURS11ASAM,"Boston-Cambridge-Newton, MA-NH",Medical care,2019,M05,May,675.683,[{}]
CUURS11ASAM,"Boston-Cambridge-Newton, MA-NH",Medical care,2019,M03,March,659.055,[{}]
CUURS11ASAM,"Boston-Cambridge-Newton, MA-NH",Medical care,2019,M01,January,655.374,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2022,M11,November,278.820,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2022,M09,September,279.444,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2022,M07,July,282.543,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2022,M05,May,278.442,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2022,M03,March,271.758,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2022,M01,January,256.708,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2021,M11,November,252.881,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2021,M09,September,248.276,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2021,M07,July,244.607,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2021,M05,May,242.577,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2021,M03,March,239.316,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2021,M01,January,233.037,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2020,M11,November,228.357,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2020,M09,September,231.952,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2020,M07,July,231.457,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2020,M05,May,229.711,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2020,M03,March,233.166,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2020,M01,January,232.817,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2019,M11,November,232.324,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2019,M09,September,232.730,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2019,M07,July,232.417,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2019,M05,May,235.617,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2019,M03,March,235.565,[{}]
CUURS11ASAN,"Boston-Cambridge-Newton, MA-NH",Nondurables,2019,M01,January,231.024,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2022,M11,November,119.791,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2022,M09,September,120.763,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2022,M07,July,118.320,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2022,M05,May,118.266,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2022,M03,March,117.281,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2022,M01,January,117.206,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2021,M11,November,115.947,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2021,M09,September,115.026,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2021,M07,July,117.886,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2021,M05,May,116.623,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2021,M03,March,115.031,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2021,M01,January,116.060,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2020,M11,November,114.852,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2020,M09,September,116.973,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2020,M07,July,116.746,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2020,M05,May,123.085,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2020,M03,March,122.892,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2020,M01,January,123.000,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2019,M11,November,122.090,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2019,M09,September,121.200,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2019,M07,July,124.290,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2019,M05,May,123.545,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2019,M03,March,124.667,[{}]
CUURS11ASAR,"Boston-Cambridge-Newton, MA-NH",Recreation,2019,M01,January,124.490,[{}]
CUURS11ASAS,"Boston-Cambridge-Newton, MA-NH",Services,2022,M11,November,404.383,[{}]
CUURS11ASAS,"Boston-Cambridge-Newton, MA-NH",Services,2022,M09,September,399.203,[{}]
CUURS11ASAS,"Boston-Cambridge-Newton, MA-NH",Services,2022,M07,July,392.603,[{}]
CUURS11ASAS,"Boston-Cambridge-Newton, MA-NH",Services,2022,M05,May,390.392,[{}]
CUURS11ASAS,"Boston-Cambridge-Newton, MA-NH",Services,2022,M03,March,387.526,[{}]
CUURS11ASAS,"Boston-Cambridge-Newton, MA-NH",Services,2022,M01,January,384.053,[{}]
CUURS11ASAS,"Boston-Cambridge-Newton, MA-NH",Services,2021,M11,November,378.319,[{}]
CUURS11ASAS,"Boston-Cambridge-Newton, MA-NH",Services,2021,M09,September,373.876,[{}]
CUURS11ASAS,"Boston-Cambridge-Newton, MA-NH",Services,2021,M07,July,375.860,[{}]
CUURS11ASAS,"Boston-Cambridge-Newton, MA-NH",Services,2021,M05,May,372.461,[{}]
CUURS11ASAS,"Boston-Cambridge-Newton, MA-NH",Services,2021,M03,March,370.922,[{}]
CUURS11ASAS,"Boston-Cambridge-Newton, MA-NH",Services,2021,M01,January,369.668,[{}]
CUURS11ASAS,"Boston-Cambridge-Newton, MA-NH",Services,2020,M11,November,369.142,[{}]
CUURS11ASAS,"Boston-Cambridge-Newton, MA-NH",Services,2020,M09,September,365.925,[{}]
CUURS11ASAS,"Boston-Cambridge-Newton, MA-NH",Services,2020,M07,July,366.236,[{}]
CUURS11ASAS,"Boston-Cambridge-Newton, MA-NH",Services,2020,M05,May,365.620,[{}]
CUURS11ASAS,"Boston-Cambridge-Newton, MA-NH",Services,2020,M03,March,369.304,[{}]
CUURS11ASAS,"Boston-Cambridge-Newton, MA-NH",Services,2020,M01,January,368.670,[{}]
CUURS11ASAS,"Boston-Cambridge-Newton, MA-NH",Services,2019,M11,November,366.356,[{}]
CUURS11ASAS,"Boston-Cambridge-Newton, MA-NH",Services,2019,M09,September,362.744,[{}]
